<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBCB,D,20190618,000000,1019.2000000,1023.6000000,1017.6000000,1019.2000000,625
SBCB,D,20190619,000000,1015.4000000,1020.4000000,1015.0000000,1018.2000000,1685
SBCB,D,20190620,000000,1022.4000000,1022.4000000,1009.8000000,1010.0000000,2181
SBCB,D,20190621,000000,1014.8000000,1014.8000000,1009.0000000,1014.0000000,1239
SBCB,D,20190624,000000,1009.6000000,1014.8000000,1003.6000000,1004.0000000,846
SBCB,D,20190625,000000,1002.2000000,1009.0000000,996.2000000,1004.6000000,1696
SBCB,D,20190626,000000,992.4000000,1009.8000000,992.4000000,1006.6000000,3430
SBCB,D,20190627,000000,1008.0000000,1008.4000000,1004.2000000,1007.6000000,690
SBCB,D,20190628,000000,1007.6000000,1009.0000000,1004.0000000,1005.2000000,368
SBCB,D,20190701,000000,1005.0000000,1011.6000000,992.8000000,1005.8000000,917
SBCB,D,20190702,000000,1010.0000000,1013.2000000,1007.2000000,1011.6000000,277
SBCB,D,20190703,000000,1015.0000000,1022.2000000,1015.0000000,1020.0000000,1284
SBCB,D,20190704,000000,1015.0000000,1020.6000000,1010.0000000,1019.8000000,821
SBCB,D,20190705,000000,1015.2000000,1024.2000000,1010.2000000,1021.2000000,591
SBCB,D,20190708,000000,1020.0000000,1035.0000000,1020.0000000,1020.2000000,387
SBCB,D,20190709,000000,1029.8000000,1029.8000000,1020.8000000,1024.2000000,188
SBCB,D,20190710,000000,1025.2000000,1025.2000000,1014.6000000,1016.4000000,792
SBCB,D,20190711,000000,1015.2000000,1015.2000000,1011.0000000,1011.6000000,1586
SBCB,D,20190712,000000,1012.2000000,1016.6000000,1012.0000000,1015.6000000,736
SBCB,D,20190715,000000,1025.0000000,1025.0000000,1007.2000000,1009.4000000,576
SBCB,D,20190716,000000,1015.0000000,1020.0000000,1010.0000000,1011.0000000,982
SBCB,D,20190717,000000,1020.0000000,1021.0000000,1011.0000000,1013.2000000,352
SBCB,D,20190718,000000,1015.0000000,1017.4000000,1011.0000000,1017.4000000,758
SBCB,D,20190719,000000,1011.8000000,1018.0000000,1011.8000000,1016.8000000,2343
SBCB,D,20190722,000000,1014.8000000,1018.6000000,1014.0000000,1018.0000000,2271
SBCB,D,20190723,000000,1019.0000000,1022.6000000,1016.8000000,1022.0000000,1020
SBCB,D,20190724,000000,1021.0000000,1028.0000000,1017.2000000,1018.8000000,689
SBCB,D,20190725,000000,1020.0000000,1023.4000000,1017.8000000,1022.0000000,287
SBCB,D,20190726,000000,1016.8000000,1027.4000000,1016.8000000,1027.4000000,825
SBCB,D,20190729,000000,1021.0000000,1028.0000000,1021.0000000,1027.6000000,211
SBCB,D,20190730,000000,1027.4000000,1030.0000000,1022.0000000,1029.0000000,794
SBCB,D,20190731,000000,1028.0000000,1028.6000000,1024.4000000,1027.6000000,1368
SBCB,D,20190801,000000,1030.0000000,1037.4000000,1029.8000000,1030.4000000,1446
SBCB,D,20190802,000000,1038.8000000,1054.0000000,1038.6000000,1047.0000000,1393
SBCB,D,20190805,000000,1042.2000000,1058.8000000,1040.6000000,1047.8000000,858
SBCB,D,20190806,000000,1048.0000000,1050.6000000,1042.2000000,1050.0000000,3956
SBCB,D,20190807,000000,1045.2000000,1061.2000000,1045.2000000,1061.2000000,618
SBCB,D,20190808,000000,1054.8000000,1058.4000000,1052.6000000,1055.4000000,262
SBCB,D,20190809,000000,1075.4000000,1075.4000000,1052.4000000,1060.0000000,1046
SBCB,D,20190812,000000,1050.6000000,1064.0000000,1050.6000000,1062.0000000,1395
SBCB,D,20190813,000000,1066.0000000,1066.0000000,1053.0000000,1055.2000000,1111
SBCB,D,20190814,000000,1048.6000000,1072.0000000,1048.6000000,1069.4000000,2381
SBCB,D,20190815,000000,1055.6000000,1081.0000000,1055.4000000,1072.6000000,1194
SBCB,D,20190816,000000,1070.0000000,1079.0000000,1067.8000000,1079.0000000,1262
SBCB,D,20190819,000000,1089.4000000,1099.4000000,1080.8000000,1082.0000000,838
SBCB,D,20190820,000000,1105.0000000,1105.0000000,1079.8000000,1084.4000000,2347
SBCB,D,20190821,000000,1078.2000000,1078.4000000,1067.2000000,1071.2000000,974
SBCB,D,20190822,000000,1072.8000000,1072.8000000,1066.2000000,1067.4000000,122
SBCB,D,20190823,000000,1067.4000000,1075.4000000,1066.2000000,1070.0000000,1009
SBCB,D,20190826,000000,1076.0000000,1077.4000000,1073.0000000,1074.8000000,712
SBCB,D,20190827,000000,1075.6000000,1084.2000000,1075.6000000,1084.0000000,1442
SBCB,D,20190828,000000,1089.0000000,1091.0000000,1078.6000000,1086.0000000,522
SBCB,D,20190829,000000,1096.0000000,1096.0000000,1085.0000000,1088.2000000,720
SBCB,D,20190830,000000,1110.0000000,1110.0000000,1083.6000000,1093.0000000,1792
SBCB,D,20190902,000000,1071.2000000,1092.8000000,1071.2000000,1091.0000000,1907
SBCB,D,20190903,000000,1093.0000000,1097.6000000,1090.2000000,1097.2000000,832
SBCB,D,20190904,000000,1100.0000000,1100.0000000,1080.0000000,1080.0000000,4222
SBCB,D,20190905,000000,1080.2000000,1082.4000000,1076.6000000,1078.6000000,2566
SBCB,D,20190906,000000,1081.4000000,1085.0000000,1077.0000000,1080.2000000,2844
SBCB,D,20190909,000000,1075.2000000,1078.0000000,1074.0000000,1075.4000000,400
SBCB,D,20190910,000000,1070.0000000,1081.0000000,1070.0000000,1072.0000000,3893
SBCB,D,20190911,000000,1070.4000000,1073.4000000,1069.0000000,1069.0000000,1648
SBCB,D,20190912,000000,1068.6000000,1070.0000000,1060.0000000,1061.0000000,2858
SBCB,D,20190913,000000,1061.2000000,1062.0000000,1049.0000000,1051.2000000,4830
SBCB,D,20190916,000000,1051.4000000,1064.8000000,1042.2000000,1050.0000000,3352
SBCB,D,20190917,000000,1045.2000000,1061.8000000,1045.2000000,1055.0000000,2201
SBCB,D,20190918,000000,1060.0000000,1060.0000000,1050.0000000,1053.4000000,1042
SBCB,D,20190919,000000,1060.0000000,1060.0000000,1047.0000000,1047.8000000,2076
SBCB,D,20190920,000000,1055.0000000,1055.0000000,1045.4000000,1049.6000000,5476
SBCB,D,20190923,000000,1065.0000000,1070.0000000,1040.0000000,1049.8000000,689
SBCB,D,20190924,000000,1048.4000000,1051.0000000,1042.6000000,1051.0000000,1188
SBCB,D,20190925,000000,1055.0000000,1060.0000000,1054.0000000,1055.6000000,1612
SBCB,D,20190926,000000,1050.2000000,1058.0000000,1050.2000000,1055.8000000,3351
SBCB,D,20190927,000000,1060.2000000,1060.2000000,1050.2000000,1058.4000000,2520
SBCB,D,20190930,000000,1060.0000000,1068.8000000,1058.8000000,1067.4000000,1123
SBCB,D,20191001,000000,1070.0000000,1075.0000000,1066.0000000,1072.0000000,472
SBCB,D,20191002,000000,1075.0000000,1090.0000000,1067.4000000,1068.8000000,1749
SBCB,D,20191003,000000,1067.0000000,1074.4000000,1066.8000000,1072.2000000,1774
SBCB,D,20191004,000000,1070.2000000,1075.0000000,1059.4000000,1064.2000000,1604
SBCB,D,20191007,000000,1052.4000000,1068.4000000,1052.2000000,1067.0000000,638
SBCB,D,20191008,000000,1070.0000000,1075.0000000,1065.2000000,1070.4000000,617
SBCB,D,20191009,000000,1066.4000000,1069.4000000,1064.0000000,1065.0000000,3868
SBCB,D,20191010,000000,1060.2000000,1064.4000000,1056.2000000,1059.2000000,1393
SBCB,D,20191011,000000,1056.2000000,1058.4000000,1051.2000000,1052.0000000,2449
SBCB,D,20191014,000000,1060.0000000,1065.0000000,1053.4000000,1058.4000000,3644
SBCB,D,20191015,000000,1060.0000000,1065.0000000,1055.2000000,1057.2000000,499
SBCB,D,20191016,000000,1057.4000000,1060.2000000,1055.0000000,1055.0000000,1007
SBCB,D,20191017,000000,1050.0000000,1072.0000000,1050.0000000,1054.0000000,1098
SBCB,D,20191018,000000,1054.0000000,1057.0000000,1052.2000000,1056.2000000,590
SBCB,D,20191021,000000,1052.4000000,1052.4000000,1049.0000000,1049.6000000,1227
SBCB,D,20191022,000000,1049.2000000,1051.4000000,1045.6000000,1048.4000000,2810
SBCB,D,20191023,000000,1055.0000000,1056.8000000,1049.8000000,1053.2000000,1643
SBCB,D,20191024,000000,1056.8000000,1057.0000000,1048.4000000,1055.2000000,1116
SBCB,D,20191025,000000,1057.8000000,1057.8000000,1043.8000000,1048.2000000,1220
SBCB,D,20191028,000000,1050.0000000,1063.6000000,1048.0000000,1051.8000000,803
SBCB,D,20191029,000000,1049.4000000,1056.0000000,1049.4000000,1054.0000000,596
SBCB,D,20191030,000000,1054.0000000,1055.8000000,1051.0000000,1055.6000000,562
SBCB,D,20191031,000000,1053.0000000,1058.0000000,1051.0000000,1058.0000000,809
SBCB,D,20191101,000000,1060.0000000,1060.0000000,1047.4000000,1047.4000000,3147
SBCB,D,20191105,000000,1055.0000000,1055.0000000,1044.0000000,1051.4000000,2769
SBCB,D,20191106,000000,1055.0000000,1060.0000000,1045.2000000,1055.4000000,9914
SBCB,D,20191107,000000,1050.2000000,1053.4000000,1049.2000000,1053.4000000,993
SBCB,D,20191108,000000,1052.2000000,1056.0000000,1052.0000000,1052.8000000,943
SBCB,D,20191111,000000,1060.0000000,1060.0000000,1051.2000000,1056.0000000,1064
SBCB,D,20191112,000000,1060.0000000,1060.0000000,1055.0000000,1059.4000000,600
SBCB,D,20191113,000000,1060.0000000,1065.0000000,1059.4000000,1063.0000000,2922
SBCB,D,20191114,000000,1062.8000000,1063.0000000,1057.4000000,1060.4000000,649
SBCB,D,20191115,000000,1056.6000000,1058.4000000,1056.0000000,1056.2000000,1017
SBCB,D,20191118,000000,1055.0000000,1058.4000000,1054.0000000,1057.4000000,363
SBCB,D,20191119,000000,1058.0000000,1058.0000000,1053.8000000,1057.0000000,1055
SBCB,D,20191120,000000,1056.0000000,1059.8000000,1056.0000000,1056.2000000,241
SBCB,D,20191121,000000,1056.4000000,1056.6000000,1050.0000000,1054.6000000,767
SBCB,D,20191122,000000,1056.6000000,1057.2000000,1052.4000000,1055.8000000,286
SBCB,D,20191125,000000,1055.8000000,1058.2000000,1052.8000000,1057.8000000,336
SBCB,D,20191126,000000,1054.4000000,1058.8000000,1054.4000000,1058.2000000,438
SBCB,D,20191127,000000,1057.4000000,1062.0000000,1057.4000000,1062.0000000,804
SBCB,D,20191128,000000,1062.6000000,1063.6000000,1059.4000000,1059.6000000,11960
SBCB,D,20191129,000000,1055.2000000,1067.0000000,1053.6000000,1067.0000000,334
SBCB,D,20191202,000000,1064.6000000,1068.6000000,1063.2000000,1063.4000000,282
SBCB,D,20191203,000000,1061.6000000,1067.6000000,1061.4000000,1067.6000000,1702
SBCB,D,20191204,000000,1066.6000000,1067.4000000,1060.4000000,1060.6000000,1375
SBCB,D,20191205,000000,1060.0000000,1063.6000000,1059.0000000,1061.0000000,13254
SBCB,D,20191206,000000,1061.2000000,1061.4000000,1058.4000000,1060.0000000,423
SBCB,D,20191209,000000,1060.2000000,1061.4000000,1058.6000000,1059.0000000,620
SBCB,D,20191210,000000,1065.0000000,1066.8000000,1056.0000000,1056.0000000,1450
SBCB,D,20191211,000000,1056.4000000,1057.2000000,1053.6000000,1055.0000000,760
SBCB,D,20191212,000000,1052.6000000,1064.0000000,1044.0000000,1044.0000000,5467
SBCB,D,20191213,000000,1042.4000000,1056.8000000,1036.0000000,1056.8000000,3556
SBCB,D,20191216,000000,1050.2000000,1050.2000000,1041.0000000,1043.0000000,7352
SBCB,D,20191217,000000,1045.0000000,1045.8000000,1040.2000000,1042.8000000,1776
SBCB,D,20191218,000000,1049.0000000,1049.0000000,1040.4000000,1042.4000000,982
SBCB,D,20191219,000000,1040.6000000,1043.8000000,1039.2000000,1039.6000000,3213
SBCB,D,20191220,000000,1039.4000000,1042.0000000,1034.0000000,1039.0000000,9009
SBCB,D,20191223,000000,1040.0000000,1041.6000000,1036.2000000,1040.0000000,1508
SBCB,D,20191224,000000,1035.0000000,1044.0000000,1032.8000000,1036.0000000,3594
SBCB,D,20191225,000000,1030.2000000,1038.8000000,994.4000000,1034.0000000,5482
SBCB,D,20191226,000000,1044.8000000,1044.8000000,1030.0000000,1036.0000000,1596
SBCB,D,20191227,000000,1040.0000000,1045.0000000,1030.0000000,1032.0000000,3642
SBCB,D,20191230,000000,1033.0000000,1034.0000000,1026.2000000,1029.6000000,1722
SBCB,D,20200103,000000,1036.0000000,1042.4000000,1036.0000000,1037.4000000,2227
SBCB,D,20200106,000000,1035.2000000,1044.2000000,1016.8000000,1034.2000000,952
SBCB,D,20200108,000000,1034.2000000,1036.8000000,1031.0000000,1034.2000000,719
SBCB,D,20200109,000000,1039.8000000,1044.2000000,1022.2000000,1026.8000000,1151
SBCB,D,20200110,000000,1023.4000000,1027.4000000,1023.4000000,1024.8000000,1186
SBCB,D,20200113,000000,1023.4000000,1029.2000000,1020.0000000,1028.8000000,1736
SBCB,D,20200114,000000,1025.4000000,1033.6000000,1022.6000000,1027.0000000,1323
SBCB,D,20200115,000000,1030.0000000,1034.8000000,1025.6000000,1034.2000000,2163
SBCB,D,20200116,000000,1027.4000000,1037.6000000,1027.2000000,1031.4000000,1156
SBCB,D,20200117,000000,1031.0000000,1032.0000000,1027.0000000,1027.0000000,1401
SBCB,D,20200120,000000,1027.0000000,1033.0000000,1026.8000000,1033.0000000,1719
SBCB,D,20200121,000000,1027.2000000,1039.4000000,1027.2000000,1039.0000000,5791
SBCB,D,20200122,000000,1037.0000000,1040.6000000,1032.8000000,1040.0000000,2358
SBCB,D,20200123,000000,1040.4000000,1040.4000000,1036.2000000,1037.6000000,856
SBCB,D,20200124,000000,1045.0000000,1048.8000000,1033.6000000,1038.2000000,1109
SBCB,D,20200127,000000,1039.8000000,1054.8000000,1039.8000000,1048.4000000,4317
SBCB,D,20200128,000000,1053.6000000,1059.2000000,1045.0000000,1045.0000000,5320
SBCB,D,20200129,000000,1045.2000000,1052.6000000,1040.8000000,1052.6000000,1346
SBCB,D,20200130,000000,1055.0000000,1062.4000000,1054.4000000,1060.4000000,2097
SBCB,D,20200131,000000,1060.0000000,1070.0000000,1055.4000000,1069.2000000,2748
SBCB,D,20200203,000000,1065.8000000,1076.4000000,1063.8000000,1064.0000000,4626
SBCB,D,20200204,000000,1070.0000000,1073.8000000,1056.8000000,1058.4000000,2099
SBCB,D,20200205,000000,1065.0000000,1065.0000000,1045.6000000,1050.6000000,5084
SBCB,D,20200206,000000,1051.2000000,1061.2000000,1047.2000000,1060.6000000,1434
SBCB,D,20200207,000000,1060.8000000,1074.0000000,1060.8000000,1069.0000000,1851
SBCB,D,20200210,000000,1069.8000000,1077.8000000,1065.4000000,1071.6000000,1292
SBCB,D,20200211,000000,1072.4000000,1073.8000000,1062.0000000,1064.0000000,1606
SBCB,D,20200212,000000,1064.0000000,1064.0000000,1053.6000000,1058.0000000,1382
SBCB,D,20200213,000000,1066.6000000,1071.8000000,1064.0000000,1064.4000000,1412
SBCB,D,20200214,000000,1062.6000000,1069.0000000,1062.6000000,1066.0000000,9288
SBCB,D,20200217,000000,1066.0000000,1066.0000000,1061.0000000,1062.6000000,1551
SBCB,D,20200218,000000,1066.4000000,1073.0000000,1066.4000000,1072.6000000,2278
SBCB,D,20200219,000000,1065.2000000,1074.8000000,1065.2000000,1071.0000000,3323
SBCB,D,20200220,000000,1074.2000000,1074.2000000,1067.4000000,1074.0000000,2928
SBCB,D,20200221,000000,1072.0000000,1081.0000000,1072.0000000,1079.0000000,1235
SBCB,D,20200225,000000,1085.0000000,1101.0000000,1085.0000000,1100.0000000,4674
SBCB,D,20200226,000000,1100.0000000,1159.0000000,1090.4000000,1093.8000000,8752
SBCB,D,20200227,000000,1100.0000000,1127.2000000,1090.6000000,1112.6000000,3158
SBCB,D,20200228,000000,1138.0000000,1140.0000000,1105.6000000,1124.0000000,11295
SBCB,D,20200302,000000,1124.2000000,1129.8000000,1093.0000000,1117.2000000,4709
SBCB,D,20200303,000000,1109.0000000,1138.8000000,1101.0000000,1119.8000000,2666
SBCB,D,20200304,000000,1100.0000000,1119.8000000,1097.6000000,1108.0000000,1721
SBCB,D,20200305,000000,1111.8000000,1123.2000000,1108.4000000,1123.0000000,2645
SBCB,D,20200306,000000,1129.0000000,1145.0000000,1128.8000000,1145.0000000,6424
SBCB,D,20200310,000000,1167.8000000,1203.0000000,1125.0000000,1192.2000000,6164
SBCB,D,20200311,000000,1151.2000000,1199.0000000,1151.2000000,1194.4000000,3011
SBCB,D,20200312,000000,1203.0000000,1241.0000000,1135.4000000,1239.8000000,12758
SBCB,D,20200313,000000,1233.6000000,1233.8000000,1180.0000000,1212.8000000,6226
SBCB,D,20200316,000000,1212.8000000,1224.8000000,1189.8000000,1201.8000000,2718
SBCB,D,20200317,000000,1160.2000000,1215.0000000,1160.0000000,1210.6000000,5233
