<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20190619,000000,1064.0000000,1070.2000000,1064.0000000,1068.6000000,2321
SBGB,D,20190620,000000,1075.0000000,1078.4000000,1071.0000000,1077.8000000,1513
SBGB,D,20190621,000000,1073.2000000,1076.6000000,1073.0000000,1075.2000000,329
SBGB,D,20190624,000000,1070.2000000,1086.0000000,1070.0000000,1076.6000000,2096
SBGB,D,20190625,000000,1078.0000000,1078.0000000,1073.4000000,1077.2000000,1026
SBGB,D,20190626,000000,1070.0000000,1079.8000000,1070.0000000,1075.4000000,1596
SBGB,D,20190627,000000,1080.0000000,1082.6000000,1070.4000000,1075.2000000,201325
SBGB,D,20190628,000000,1082.0000000,1082.0000000,1072.4000000,1077.0000000,3088
SBGB,D,20190701,000000,1080.0000000,1085.0000000,1070.0000000,1079.4000000,2318
SBGB,D,20190702,000000,1080.0000000,1083.8000000,1072.6000000,1079.4000000,2078
SBGB,D,20190703,000000,1078.4000000,1078.4000000,1074.6000000,1078.4000000,1706
SBGB,D,20190704,000000,1078.0000000,1080.4000000,1074.4000000,1080.4000000,1904
SBGB,D,20190705,000000,1085.4000000,1085.4000000,1077.6000000,1081.0000000,633
SBGB,D,20190708,000000,1085.0000000,1085.4000000,1077.4000000,1080.6000000,703
SBGB,D,20190709,000000,1077.8000000,1084.8000000,1077.8000000,1081.8000000,1671
SBGB,D,20190710,000000,1075.8000000,1083.2000000,1075.8000000,1083.2000000,789
SBGB,D,20190711,000000,1083.8000000,1084.4000000,1081.2000000,1084.4000000,169
SBGB,D,20190712,000000,1081.4000000,1084.0000000,1079.4000000,1080.0000000,1820
SBGB,D,20190715,000000,1085.0000000,1085.0000000,1080.2000000,1082.6000000,1831
SBGB,D,20190716,000000,1085.2000000,1085.2000000,1080.2000000,1080.6000000,331358
SBGB,D,20190717,000000,1085.4000000,1098.0000000,1079.8000000,1082.8000000,1842
SBGB,D,20190718,000000,1080.2000000,1083.2000000,1079.2000000,1082.0000000,969
SBGB,D,20190719,000000,1084.8000000,1098.0000000,1080.0000000,1083.4000000,1395
SBGB,D,20190722,000000,1084.8000000,1086.8000000,1082.0000000,1083.8000000,175250
SBGB,D,20190723,000000,1082.2000000,1097.0000000,1082.2000000,1088.0000000,1135
SBGB,D,20190724,000000,1090.0000000,1098.0000000,1086.6000000,1090.0000000,891
SBGB,D,20190725,000000,1090.2000000,1092.4000000,1089.0000000,1092.4000000,3328
SBGB,D,20190726,000000,1098.0000000,1098.0000000,1089.2000000,1090.4000000,130448
SBGB,D,20190729,000000,1112.2000000,1112.2000000,1087.0000000,1089.4000000,357
SBGB,D,20190730,000000,1097.8000000,1098.0000000,1086.4000000,1089.2000000,2663
SBGB,D,20190731,000000,1088.8000000,1089.6000000,1086.2000000,1089.4000000,2560
SBGB,D,20190801,000000,1095.0000000,1095.0000000,1086.0000000,1088.4000000,109836
SBGB,D,20190802,000000,1086.4000000,1086.4000000,1077.6000000,1081.8000000,22928
SBGB,D,20190805,000000,1095.0000000,1097.0000000,1075.2000000,1086.6000000,46029
SBGB,D,20190806,000000,1082.6000000,1089.2000000,1082.2000000,1087.2000000,5613
SBGB,D,20190807,000000,1088.8000000,1090.4000000,1084.6000000,1089.8000000,1276
SBGB,D,20190808,000000,1085.6000000,1091.8000000,1085.6000000,1090.6000000,2212
SBGB,D,20190809,000000,1094.8000000,1094.8000000,1086.8000000,1087.0000000,898
SBGB,D,20190812,000000,1085.2000000,1091.8000000,1085.2000000,1089.8000000,73509
SBGB,D,20190813,000000,1085.2000000,1097.6000000,1085.2000000,1089.2000000,1157
SBGB,D,20190814,000000,1095.0000000,1095.0000000,1085.2000000,1087.2000000,3714
SBGB,D,20190815,000000,1090.2000000,1097.8000000,1085.6000000,1085.6000000,4062
SBGB,D,20190816,000000,1085.6000000,1097.0000000,1077.6000000,1089.0000000,1994
SBGB,D,20190819,000000,1085.0000000,1106.0000000,1085.0000000,1091.2000000,681
SBGB,D,20190820,000000,1095.0000000,1095.0000000,1087.6000000,1090.8000000,51872
SBGB,D,20190821,000000,1100.0000000,1108.0000000,1089.8000000,1097.0000000,911
SBGB,D,20190822,000000,1100.0000000,1100.0000000,1092.4000000,1099.0000000,397
SBGB,D,20190823,000000,1098.4000000,1099.4000000,1094.2000000,1099.0000000,151605
SBGB,D,20190826,000000,1100.0000000,1108.0000000,1093.8000000,1096.2000000,566
SBGB,D,20190827,000000,1094.2000000,1106.0000000,1094.2000000,1100.2000000,66353
SBGB,D,20190828,000000,1100.0000000,1108.0000000,1094.4000000,1099.8000000,1726
SBGB,D,20190829,000000,1104.8000000,1127.0000000,1096.0000000,1101.8000000,736
SBGB,D,20190830,000000,1146.2000000,1146.2000000,1097.0000000,1104.2000000,2176
SBGB,D,20190902,000000,1097.8000000,1132.2000000,1097.6000000,1102.6000000,2217
SBGB,D,20190903,000000,1109.8000000,1125.0000000,1101.4000000,1106.4000000,79200
SBGB,D,20190904,000000,1128.4000000,1128.4000000,1103.4000000,1110.0000000,77364
SBGB,D,20190905,000000,1109.6000000,1111.8000000,1109.6000000,1110.2000000,889
SBGB,D,20190906,000000,1110.0000000,1111.2000000,1106.0000000,1108.0000000,1829
SBGB,D,20190909,000000,1112.4000000,1112.4000000,1106.2000000,1110.4000000,2075
SBGB,D,20190910,000000,1105.4000000,1120.0000000,1105.4000000,1120.0000000,45682
SBGB,D,20190911,000000,1115.2000000,1117.2000000,1105.6000000,1108.0000000,51181
SBGB,D,20190912,000000,1115.0000000,1116.4000000,1110.0000000,1112.0000000,788
